date, pm25, pm10
2021/7/18, 20, 
2021/7/21, 22, 5
2021/7/22, 19, 
2021/8/1, 37, 11
2021/8/2, 45, 8
2021/8/3, 31, 
2021/8/6, 36, 10
2021/8/7, 40, 11
2021/8/8, 47, 
2021/9/2, 59, 
2021/9/4, 35, 8
2021/9/5, 36, 7
2021/9/6, 31, 9
2021/9/7, 37, 7
2021/9/8, 32, 
2021/9/11, 40, 6
2021/9/12, 28, 7
2021/9/13, 29, 13
2021/9/14, 49, 18
2021/9/15, 60, 8
2021/9/16, 33, 5
2021/9/17, 21, 7
2021/9/18, 31, 9
2021/9/19, 38, 11
2021/9/20, 41, 14
2021/9/21, 54, 4
2021/9/22, 16, 4
2021/9/23, 19, 7
2021/9/24, 30, 11
2021/9/25, 43, 3
2021/9/26, 15, 4
2021/9/27, 18, 7
2021/9/28, 32, 15
2021/9/29, 58, 15
2021/9/30, 58, 12
2021/4/1, 164, 74
2021/4/2, 172, 76
2021/4/3, 173, 81
2021/4/4, 178, 70
2021/4/5, 166, 21
2021/4/6, 71, 19
2021/4/7, 67, 23
2021/4/8, 77, 35
2021/4/9, 97, 29
2021/4/10, 87, 24
2021/4/11, 76, 31
2021/4/12, 89, 30
2021/4/13, 88, 35
2021/4/14, 96, 36
2021/4/15, 99, 45
2021/4/16, 115, 34
2021/4/17, 94, 7
2021/4/18, 28, 20
2021/4/19, 67, 30
2021/4/20, 91, 44
2021/4/21, 113, 
2021/4/25, 129, 39
2021/4/26, 104, 29
2021/4/27, 86, 21
2021/4/28, 70, 12
2021/4/29, 49, 10
2021/4/30, 41, 13
2021/5/1, 51, 12
2021/5/2, 49, 16
2021/5/3, 59, 24
2021/5/4, 77, 34
2021/5/5, 95, 
2021/5/13, 56, 18
2021/5/14, 65, 25
2021/5/15, 80, 27
2021/5/16, 83, 30
2021/5/17, 90, 39
2021/5/18, 108, 29
2021/5/19, 87, 29
2021/5/20, 87, 28
2021/5/21, 85, 22
2021/5/22, 72, 
2021/5/29, 54, 10
2021/5/30, 40, 6
2021/5/31, 28, 16
2021/6/1, 59, 27
2021/6/2, 84, 31
2021/6/3, 91, 30
2021/6/4, 87, 12
2021/6/5, 49, 21
2021/6/6, 70, 20
2021/6/7, 69, 16
2021/6/8, 58, 8
2021/6/9, 34, 5
2021/6/10, 20, 6
2021/6/11, 26, 11
2021/6/12, 46, 11
2021/6/13, 47, 9
2021/6/14, 38, 7
2021/6/15, 29, 4
2021/6/16, 17, 4
2021/6/17, 18, 5
2021/6/18, 20, 6
2021/6/19, 24, 6
2021/6/20, 24, 13
2021/6/21, 50, 8
2021/6/22, 36, 9
2021/6/23, 36, 6
2021/6/24, 27, 6
2021/6/25, 22, 6
2021/6/26, 25, 7
2021/6/27, 29, 5
2021/6/28, 20, 5
2021/6/29, 21, 6
2021/6/30, 25, 6
2021/1/4, 139, 46
2021/1/5, 128, 35
2021/1/6, 103, 34
2021/1/7, 101, 42
2021/1/8, 121, 35
2021/1/9, 104, 29
2021/1/10, 89, 36
2021/1/11, 107, 21
2021/1/12, 64, 24
2021/1/13, 75, 47
2021/1/14, 133, 60
2021/1/15, 157, 52
2021/1/16, 139, 59
2021/1/17, 156, 57
2021/1/18, 149, 54
2021/1/19, 149, 58
2021/1/20, 156, 60
2021/1/21, 155, 61
2021/1/22, 159, 59
2021/1/23, 156, 58
2021/1/24, 156, 57
2021/1/25, 147, 60
2021/1/26, 157, 67
2021/1/27, 165, 63
2021/1/28, 160, 65
2021/1/29, 163, 51
2021/1/30, 140, 56
2021/1/31, 153, 56
2021/2/1, 142, 37
2021/2/2, 108, 31
2021/2/3, 95, 53
2021/2/4, 147, 63
2021/2/5, 161, 72
2021/2/6, 171, 72
2021/2/7, 171, 69
2021/2/8, 166, 32
2021/2/9, 96, 
2021/3/3, 133, 
2021/3/9, 140, 
2021/3/11, 195, 82
2021/3/12, 179, 83
2021/3/13, 180, 73
2021/3/14, 171, 63
2021/3/15, 160, 58
2021/3/16, 151, 58
2021/3/17, 150, 62
2021/3/18, 157, 
2021/3/24, 132, 57
2021/3/25, 147, 57
2021/3/26, 148, 59
2021/3/27, 154, 61
2021/3/28, 158, 60
2021/3/29, 155, 73
2021/3/30, 171, 69
2021/3/31, 162, 68
2020/10/1, 31, 11
2020/10/2, 33, 12
2020/10/3, 43, 10
2020/10/4, 32, 11
2020/10/5, 37, 12
2020/10/6, 39, 12
2020/10/7, 44, 17
2020/10/8, 59, 16
2020/10/9, 56, 16
2020/10/10, 55, 16
2020/10/11, 57, 17
2020/10/12, 56, 16
2020/10/13, 58, 18
2020/10/14, 61, 19
2020/10/15, 65, 12
2020/10/16, 38, 9
2020/10/17, 17, 10
2020/10/18, 28, 10
2020/10/19, 26, 10
2020/10/20, 29, 9
2020/10/21, 25, 10
2020/10/22, 32, 13
2020/10/23, 47, 16
2020/10/24, 56, 
2020/10/27, 34, 15
2020/10/28, 53, 16
2020/10/29, 55, 10
2020/10/30, 29, 14
2020/10/31, 46, 13
2020/11/1, 45, 15
2020/11/2, 55, 18
2020/11/3, 62, 18
2020/11/4, 60, 16
2020/11/5, 57, 20
2020/11/6, 69, 16
2020/11/7, 57, 14
2020/11/8, 52, 19
2020/11/9, 65, 28
2020/11/10, 88, 34
2020/11/11, 102, 24
2020/11/12, 76, 22
2020/11/13, 73, 21
2020/11/14, 71, 22
2020/11/15, 71, 24
2020/11/16, 77, 26
2020/11/17, 82, 27
2020/11/18, 84, 25
2020/11/19, 81, 25
2020/11/20, 80, 23
2020/11/21, 75, 24
2020/11/22, 77, 30
2020/11/23, 92, 26
2020/11/24, 83, 17
2020/11/25, 60, 19
2020/11/26, 65, 21
2020/11/27, 69, 21
2020/11/28, 69, 24
2020/11/29, 77, 24
2020/11/30, 77, 24
2020/12/1, 77, 30
2020/12/2, 92, 32
2020/12/3, 97, 30
2020/12/4, 92, 37
2020/12/5, 109, 41
2020/12/6, 117, 36
2020/12/7, 106, 32
2020/12/8, 96, 34
2020/12/9, 99, 31
2020/12/10, 93, 32
2020/12/11, 97, 34
2020/12/12, 99, 34
2020/12/13, 102, 24
2020/12/14, 78, 24
2020/12/15, 77, 34
2020/12/16, 103, 33
2020/12/17, 99, 22
2020/12/18, 72, 24
2020/12/19, 79, 19
2020/12/20, 64, 15
2020/12/21, 52, 16
2020/12/22, 57, 22
2020/12/23, 71, 27
2020/12/24, 85, 30
2020/12/25, 90, 33
2020/12/26, 98, 28
2020/12/27, 87, 21
2020/12/28, 70, 15
2020/12/29, 49, 18
2020/12/30, 59, 29
2020/12/31, 90, 27
2021/1/1, 85, 37
2021/1/2, 109, 48
2021/1/3, 135, 50
2020/7/1, 18, 10
2020/7/2, 24, 10
2020/7/3, 23, 9
2020/7/4, 19, 9
2020/7/5, 18, 10
2020/7/6, 21, 11
2020/7/7, 33, 10
2020/7/8, 21, 10
2020/7/9, 24, 10
2020/7/10, 22, 11
2020/7/11, 30, 10
2020/7/12, 24, 10
2020/7/13, 24, 10
2020/7/14, 22, 10
2020/7/15, 24, 10
2020/7/16, 25, 9
2020/7/17, 19, 11
2020/7/18, 31, 11
2020/7/19, 27, 11
2020/7/20, 31, 11
2020/7/21, 24, 10
2020/7/22, 26, 11
2020/7/23, 31, 13
2020/7/24, 46, 13
2020/7/25, 46, 17
2020/7/26, 62, 16
2020/7/27, 56, 10
2020/7/28, 28, 11
2020/7/29, 26, 11
2020/7/30, 27, 10
2020/7/31, 27, 13
2020/8/1, 39, 16
2020/8/2, 47, 10
2020/8/3, 26, 9
2020/8/4, 17, 9
2020/8/5, 20, 12
2020/8/6, 30, 16
2020/8/7, 48, 11
2020/8/8, 27, 11
2020/8/9, 29, 12
2020/8/10, 34, 12
2020/8/11, 33, 13
2020/8/12, 37, 14
2020/8/13, 40, 12
2020/8/14, 31, 20
2020/8/15, 57, 18
2020/8/16, 50, 20
2020/8/17, 53, 18
2020/8/18, 49, 22
2020/8/19, 63, 17
2020/8/20, 50, 16
2020/8/21, 48, 14
2020/8/22, 39, 10
2020/8/23, 18, 16
2020/8/24, 46, 18
2020/8/25, 53, 15
2020/8/26, 46, 14
2020/8/27, 38, 16
